id,ClassId,ImagePath
1,0,training dataset/ain/AIN (1).JPG
2,0,training dataset/ain/AIN (10).JPG
3,0,training dataset/ain/AIN (100).jpg
4,0,training dataset/ain/AIN (1000).JPG
5,0,training dataset/ain/AIN (1001).JPG
6,0,training dataset/ain/AIN (1002).JPG
7,0,training dataset/ain/AIN (1003).JPG
8,0,training dataset/ain/AIN (1004).JPG
9,0,training dataset/ain/AIN (1005).JPG
10,0,training dataset/ain/AIN (1006).JPG
11,0,training dataset/ain/AIN (1007).JPG
12,0,training dataset/ain/AIN (1008).JPG
13,0,training dataset/ain/AIN (1009).JPG
14,0,training dataset/ain/AIN (101).jpg
15,0,training dataset/ain/AIN (1010).JPG
16,0,training dataset/ain/AIN (1011).JPG
17,0,training dataset/ain/AIN (1012).JPG
18,0,training dataset/ain/AIN (1013).JPG
19,0,training dataset/ain/AIN (1014).JPG
20,0,training dataset/ain/AIN (1015).JPG
21,0,training dataset/ain/AIN (1016).JPG
22,0,training dataset/ain/AIN (1017).JPG
23,0,training dataset/ain/AIN (1018).JPG
24,0,training dataset/ain/AIN (1019).JPG
25,0,training dataset/ain/AIN (102).jpg
26,0,training dataset/ain/AIN (1020).JPG
27,0,training dataset/ain/AIN (1021).JPG
28,0,training dataset/ain/AIN (1022).JPG
29,0,training dataset/ain/AIN (1023).JPG
30,0,training dataset/ain/AIN (1024).JPG
31,0,training dataset/ain/AIN (1025).JPG
32,0,training dataset/ain/AIN (1026).JPG
33,0,training dataset/ain/AIN (1027).JPG
34,0,training dataset/ain/AIN (1028).JPG
35,0,training dataset/ain/AIN (1029).JPG
36,0,training dataset/ain/AIN (103).jpg
37,0,training dataset/ain/AIN (1030).JPG
38,0,training dataset/ain/AIN (1031).JPG
39,0,training dataset/ain/AIN (1032).JPG
40,0,training dataset/ain/AIN (1033).JPG
41,0,training dataset/ain/AIN (1034).JPG
42,0,training dataset/ain/AIN (1035).JPG
43,0,training dataset/ain/AIN (1036).JPG
44,0,training dataset/ain/AIN (1037).JPG
45,0,training dataset/ain/AIN (1038).jpg
46,0,training dataset/ain/AIN (1039).jpg
47,0,training dataset/ain/AIN (104).jpg
48,0,training dataset/ain/AIN (1040).jpg
49,0,training dataset/ain/AIN (1041).jpg
50,0,training dataset/ain/AIN (1042).jpg
51,0,training dataset/ain/AIN (1043).jpg
52,0,training dataset/ain/AIN (1044).jpg
53,0,training dataset/ain/AIN (1045).jpg
54,0,training dataset/ain/AIN (1046).jpg
55,0,training dataset/ain/AIN (1047).jpg
56,0,training dataset/ain/AIN (1048).jpg
57,0,training dataset/ain/AIN (1049).jpg
58,0,training dataset/ain/AIN (105).jpg
59,0,training dataset/ain/AIN (1050).jpg
60,0,training dataset/ain/AIN (1051).jpg
61,0,training dataset/ain/AIN (1052).jpg
62,0,training dataset/ain/AIN (1053).jpg
63,0,training dataset/ain/AIN (1054).jpg
64,0,training dataset/ain/AIN (1055).jpg
